,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,a_team,h_goals,a_goals,date,player_assisted,lastAction,team,h_team
1,590772,19,Goal,0.9159999847412109,0.39299999237060546,0.06925240904092789,Erling Haaland,h,8260,OpenPlay,2024,RightFoot,26637,Brentford,2,1,2024-09-14 14:00:00,,Dispossessed,Manchester City,
3,590776,31,Goal,0.8730000305175781,0.5729999923706055,0.20122335851192474,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26637,Brentford,2,1,2024-09-14 14:00:00,Ederson,Pass,Manchester City,
9,590784,68,SavedShot,0.8830000305175781,0.4379999923706055,0.11676666885614395,Erling Haaland,h,8260,OpenPlay,2024,RightFoot,26637,Brentford,2,1,2024-09-14 14:00:00,Ilkay Gündogan,Pass,Manchester City,
15,590790,80,ShotOnPost,0.9109999847412109,0.55,0.14320024847984314,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26637,Brentford,2,1,2024-09-14 14:00:00,Kevin De Bruyne,Pass,Manchester City,
16,590791,80,BlockedShot,0.855,0.555,0.10396827757358551,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26637,Brentford,2,1,2024-09-14 14:00:00,Jack Grealish,Pass,Manchester City,
17,590792,80,SavedShot,0.875999984741211,0.6370000076293946,0.09604690968990326,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26637,Brentford,2,1,2024-09-14 14:00:00,Kevin De Bruyne,Pass,Manchester City,
36,589397,5,MissedShots,0.9330000305175781,0.465,0.38441917300224304,Erling Haaland,a,8260,OpenPlay,2024,Head,26628,,1,3,2024-08-31 16:30:00,Bernardo Silva,Chipped,Manchester City,West Ham
39,589400,9,Goal,0.87,0.445,0.3632678687572479,Erling Haaland,a,8260,OpenPlay,2024,LeftFoot,26628,,1,3,2024-08-31 16:30:00,Bernardo Silva,Pass,Manchester City,West Ham
47,589408,29,Goal,0.86,0.38299999237060545,0.08273795247077942,Erling Haaland,a,8260,OpenPlay,2024,LeftFoot,26628,,1,3,2024-08-31 16:30:00,Rico Lewis,Pass,Manchester City,West Ham
58,589426,82,Goal,0.8240000152587891,0.53,0.33011943101882935,Erling Haaland,a,8260,OpenPlay,2024,LeftFoot,26628,,1,3,2024-08-31 16:30:00,Matheus Nunes,Throughball,Manchester City,West Ham
59,589428,94,SavedShot,0.9630000305175781,0.644000015258789,0.15312044322490692,Erling Haaland,a,8260,OpenPlay,2024,LeftFoot,26628,,1,3,2024-08-31 16:30:00,Ilkay Gündogan,Throughball,Manchester City,West Ham
60,586163,11,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,h,8260,Penalty,2024,LeftFoot,26615,Ipswich,4,1,2024-08-24 14:00:00,,Standard,Manchester City,
62,586165,15,Goal,0.9209999847412109,0.6919999694824219,0.4703933298587799,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26615,Ipswich,4,1,2024-08-24 14:00:00,Kevin De Bruyne,TakeOn,Manchester City,
66,586169,32,MissedShots,0.89,0.48400001525878905,0.0634668841958046,Erling Haaland,h,8260,OpenPlay,2024,Head,26615,Ipswich,4,1,2024-08-24 14:00:00,Manuel Akanji,Cross,Manchester City,
68,586171,47,MissedShots,0.9569999694824218,0.5670000076293945,0.15076148509979248,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26615,Ipswich,4,1,2024-08-24 14:00:00,Jéremy Doku,Pass,Manchester City,
69,586172,50,MissedShots,0.9119999694824219,0.5209999847412109,0.045987844467163086,Erling Haaland,h,8260,OpenPlay,2024,Head,26615,Ipswich,4,1,2024-08-24 14:00:00,Sávio,Aerial,Manchester City,
70,586173,63,SavedShot,0.93,0.544000015258789,0.3169856667518616,Erling Haaland,h,8260,FromCorner,2024,Head,26615,Ipswich,4,1,2024-08-24 14:00:00,Kevin De Bruyne,Cross,Manchester City,
73,586176,87,Goal,0.7769999694824219,0.3679999923706055,0.03170016035437584,Erling Haaland,h,8260,OpenPlay,2024,LeftFoot,26615,Ipswich,4,1,2024-08-24 14:00:00,,BallTouch,Manchester City,
87,585312,17,Goal,0.9259999847412109,0.5359999847412109,0.5389691591262817,Erling Haaland,a,8260,OpenPlay,2024,LeftFoot,26610,,0,2,2024-08-18 15:30:00,Bernardo Silva,Pass,Manchester City,Chelsea
93,585321,51,SavedShot,0.865999984741211,0.4759999847412109,0.11672431230545044,Erling Haaland,a,8260,OpenPlay,2024,LeftFoot,26610,,0,2,2024-08-18 15:30:00,Bernardo Silva,Pass,Manchester City,Chelsea
